r,completed_steps,s,u,t,kl_to_path,kl_to_target,mean_x1,mean_x2,var_x1,var_x2,mean_guidance,eta,n_steps
60.0,175000.0,17.5,0.2916666666666667,0.2916666666666667,0.05290646106004715,0.955543577671051,-0.0003536003641784191,0.06439705193042755,0.8907525539398193,0.7807561755180359,1.787218689918518,0.0001,600000.0
60.0,200000.0,20.0,0.3333333333333333,0.3333333333333333,0.05345766246318817,0.9265363812446594,-0.0017954417271539569,0.059807516634464264,0.9279025197029114,0.7734584212303162,1.7909106016159058,0.0001,600000.0
60.0,225000.0,22.5,0.375,0.375,0.054149165749549866,0.8736516237258911,-0.0046924627386033535,0.05825023353099823,0.9953309893608093,0.7726008296012878,1.7990565299987793,0.0001,600000.0
60.0,250000.0,25.0,0.4166666666666667,0.4166666666666667,0.05536315217614174,0.8155651092529297,-0.003064535092562437,0.06238861754536629,1.076996922492981,0.7712041139602661,1.8087432384490967,0.0001,600000.0
60.0,275000.0,27.5,0.4583333333333333,0.4583333333333333,0.056724220514297485,0.7420977354049683,-0.0010361126624047756,0.06394821405410767,1.1859303712844849,0.7750063538551331,1.8223310708999634,0.0001,600000.0
60.0,300000.0,30.0,0.5,0.5,0.05901316553354263,0.6644467115402222,-0.004366589710116386,0.05979281663894653,1.3162565231323242,0.773805558681488,1.8380653858184814,0.0001,600000.0
60.0,325000.0,32.5,0.5416666666666666,0.5416666666666666,0.06064354628324509,0.5716395974159241,-0.0038092120084911585,0.057471875101327896,1.4904838800430298,0.7752376794815063,1.8593138456344604,0.0001,600000.0
60.0,350000.0,35.0,0.5833333333333334,0.5833333333333334,0.06331068277359009,0.4782300889492035,-0.0034479834139347076,0.062193162739276886,1.6998614072799683,0.7739307880401611,1.883620262145996,0.0001,600000.0
60.0,375000.0,37.5,0.625,0.625,0.06518644839525223,0.3825579881668091,0.006630269810557365,0.05559695512056351,1.9462286233901978,0.7747215032577515,1.9136477708816528,0.0001,600000.0
60.0,400000.0,40.0,0.6666666666666666,0.6666666666666666,0.06752929091453552,0.299520879983902,-0.0012327749282121658,0.06133510544896126,2.2149312496185303,0.7793291211128235,1.9456205368041992,0.0001,600000.0
60.0,425000.0,42.5,0.7083333333333334,0.7083333333333334,0.0705011785030365,0.2290658950805664,-0.002868613926693797,0.0548652708530426,2.5136489868164062,0.7839593887329102,1.9815099239349365,0.0001,600000.0
60.0,450000.0,45.0,0.75,0.75,0.07183532416820526,0.1687532663345337,-0.005781158339232206,0.05613086745142937,2.839818239212036,0.7886848449707031,2.0197715759277344,0.0001,600000.0
60.0,475000.0,47.5,0.7916666666666666,0.7916666666666666,0.07610554993152618,0.1302209198474884,-0.006942125037312508,0.05695520341396332,3.153646469116211,0.7848891615867615,2.055518627166748,0.0001,600000.0
60.0,500000.0,50.0,0.8333333333333334,0.8333333333333334,0.07520709931850433,0.10093674063682556,-0.005712161771953106,0.06166635453701019,3.4639689922332764,0.78812575340271,2.090933084487915,0.0001,600000.0
60.0,525000.0,52.5,0.875,0.875,0.07691605389118195,0.08725152164697647,-0.0045890710316598415,0.05601390823721886,3.724034309387207,0.7894989848136902,2.121115207672119,0.0001,600000.0
60.0,550000.0,55.0,0.9166666666666666,0.9166666666666666,0.07844457030296326,0.0808928981423378,-0.007757195271551609,0.057003866881132126,3.9637134075164795,0.7878002524375916,2.147521495819092,0.0001,600000.0
60.0,575000.0,57.5,0.9583333333333334,0.9583333333333334,0.07766972482204437,0.07792216539382935,-0.012564379721879959,0.05837436020374298,4.123908996582031,0.7939679026603699,2.1662771701812744,0.0001,600000.0
60.0,600000.0,60.0,1.0,1.0,0.07770491391420364,0.07770491391420364,-0.010306385345757008,0.05975683033466339,4.20088005065918,0.7892420291900635,2.1740996837615967,0.0001,600000.0
80.0,0.0,0.0,0.0,0.0,0.08958488702774048,0.8982871770858765,-8.56628394103609e-05,-0.002894688630476594,0.9977625608444214,0.992104709148407,1.835579752922058,0.0001,800000.0
80.0,33333.0,3.3333000000000004,0.04166625,0.04166625,0.050147563219070435,1.025718092918396,-0.002150346990674734,0.05797665938735008,0.8072885274887085,0.7766699194908142,1.7769889831542969,0.0001,800000.0
80.0,66667.0,6.6667000000000005,0.08333375000000001,0.08333375000000001,0.05143484100699425,1.0271329879760742,0.0007398322923108935,0.05606171861290932,0.8085451722145081,0.7810196876525879,1.7777289152145386,0.0001,800000.0
80.0,100000.0,10.0,0.125,0.125,0.0507267527282238,1.0206995010375977,-0.004892020486295223,0.06250500679016113,0.8126366138458252,0.7777521014213562,1.7773807048797607,0.0001,800000.0
80.0,133333.0,13.333300000000001,0.16666625000000002,0.16666625000000002,0.05139857903122902,1.0063289403915405,-0.001438066246919334,0.05909205973148346,0.8293886780738831,0.7699956893920898,1.7785563468933105,0.0001,800000.0
80.0,166667.0,16.666700000000002,0.20833375000000004,0.20833375000000004,0.05154016986489296,1.000771403312683,-0.004977972246706486,0.06330888718366623,0.8354402184486389,0.7756307125091553,1.7797698974609375,0.0001,800000.0
80.0,200000.0,20.0,0.25,0.25,0.05140785872936249,0.9818214178085327,0.0026889245491474867,0.06555294990539551,0.8583710193634033,0.782208263874054,1.7833096981048584,0.0001,800000.0
80.0,233333.0,23.3333,0.29166625,0.29166625,0.052676256746053696,0.9572024345397949,-0.0010710869682952762,0.05632880702614784,0.8901818990707397,0.7768662571907043,1.7869913578033447,0.0001,800000.0
80.0,266667.0,26.666700000000002,0.33333375000000004,0.33333375000000004,0.053338490426540375,0.9153825044631958,0.002510222839191556,0.0564972348511219,0.9414206743240356,0.7709203362464905,1.7924965620040894,0.0001,800000.0
80.0,300000.0,30.0,0.375,0.375,0.05473404377698898,0.8789144158363342,-0.0002132334775524214,0.060991883277893066,0.988923192024231,0.7736670970916748,1.7983715534210205,0.0001,800000.0
80.0,333333.0,33.3333,0.41666625,0.41666625,0.0551825612783432,0.8095412850379944,-0.0027621258050203323,0.05839568376541138,1.0831408500671387,0.7765567898750305,1.8104031085968018,0.0001,800000.0
80.0,366667.0,36.6667,0.45833375,0.45833375,0.05773382633924484,0.737067461013794,0.004817842971533537,0.061058998107910156,1.1927037239074707,0.7736901640892029,1.82310152053833,0.0001,800000.0
80.0,400000.0,40.0,0.5,0.5,0.060028135776519775,0.6540467739105225,-0.008616263046860695,0.05951239913702011,1.33475661277771,0.7811218500137329,1.8415699005126953,0.0001,800000.0
80.0,433333.0,43.3333,0.54166625,0.54166625,0.060894906520843506,0.5640585422515869,-0.005518156103789806,0.05797335132956505,1.505110502243042,0.7783040404319763,1.8615007400512695,0.0001,800000.0
80.0,466667.0,46.6667,0.58333375,0.58333375,0.0640021339058876,0.47284799814224243,0.0026544244028627872,0.05585959926247597,1.7115217447280884,0.772218644618988,1.8854506015777588,0.0001,800000.0
80.0,500000.0,50.0,0.625,0.625,0.06573697924613953,0.3820636570453644,-0.010444077663123608,0.06046869605779648,1.9514338970184326,0.7700952291488647,1.913110375404358,0.0001,800000.0
80.0,533333.0,53.3333,0.66666625,0.66666625,0.0675184428691864,0.2942233979701996,-0.0038588366005569696,0.054623354226350784,2.2415547370910645,0.7841417193412781,1.9496458768844604,0.0001,800000.0
80.0,566667.0,56.666700000000006,0.7083337500000001,0.7083337500000001,0.07089026272296906,0.22554557025432587,-0.011489040218293667,0.06012732908129692,2.5273149013519287,0.7881012558937073,1.9833340644836426,0.0001,800000.0
80.0,600000.0,60.0,0.75,0.75,0.07239938527345657,0.16625243425369263,-0.005908178631216288,0.061004552990198135,2.8670287132263184,0.78301602602005,2.0215086936950684,0.0001,800000.0
80.0,633333.0,63.3333,0.79166625,0.79166625,0.07375761866569519,0.12429459393024445,-0.0012755305506289005,0.0543048195540905,3.1895840167999268,0.7784654498100281,2.0589780807495117,0.0001,800000.0
80.0,666667.0,66.6667,0.8333337500000001,0.8333337500000001,0.07571226358413696,0.09921593219041824,-0.008148242719471455,0.05950958654284477,3.498708724975586,0.7820720076560974,2.0942766666412354,0.0001,800000.0
80.0,700000.0,70.0,0.875,0.875,0.07526477426290512,0.08487104624509811,0.0016648632008582354,0.05421847477555275,3.7468793392181396,0.7874839901924133,2.1233553886413574,0.0001,800000.0
80.0,733333.0,73.33330000000001,0.9166662500000001,0.9166662500000001,0.0760502740740776,0.07844965159893036,0.001511711860075593,0.06520815938711166,3.9639105796813965,0.7879295945167542,2.147364854812622,0.0001,800000.0
80.0,766667.0,76.6667,0.9583337500000001,0.9583337500000001,0.07904370129108429,0.07932088524103165,0.005296464543789625,0.0550142265856266,4.122509479522705,0.7929044365882874,2.166077136993408,0.0001,800000.0
80.0,800000.0,80.0,1.0,1.0,0.07966329157352448,0.07966329157352448,-0.0012974535347893834,0.05442505702376366,4.191689491271973,0.7923288345336914,2.174027919769287,0.0001,800000.0
100.0,0.0,0.0,0.0,0.0,0.08958488702774048,0.8982871770858765,-8.56628394103609e-05,-0.002894688630476594,0.9977625608444214,0.992104709148407,1.835579752922058,0.0001,1000000.0
100.0,41667.0,4.1667000000000005,0.041667,0.041667,0.04987580329179764,1.024678111076355,-0.0033794536720961332,0.05984268710017204,0.8074924349784851,0.7740896344184875,1.7764766216278076,0.0001,1000000.0
100.0,83333.0,8.333300000000001,0.08333300000000002,0.08333300000000002,0.05131513625383377,1.0245318412780762,0.0027545439079403877,0.062498029321432114,0.8120121359825134,0.77768474817276,1.7773785591125488,0.0001,1000000.0
