r,completed_steps,s,u,t,kl_to_path,kl_to_target,mean_x1,mean_x2,var_x1,var_x2,mean_guidance,eta,n_steps,wall_clock_sec,lambda_guidance
14,140000.0,14.0,1.0,1.0,0.07578085362911224,0.07578085362911224,-0.025784360244870186,0.07666321098804474,3.7184011936187744,0.7386549711227417,2.635723114013672,0.0001,140000,60.09102402906865,1.0
16,160000.0,16.0,1.0,1.0,0.07517362385988235,0.07517362385988235,-0.02389979362487793,0.07034091651439667,3.750760078430176,0.7458009123802185,2.641784906387329,0.0001,160000,68.61545883398503,1.0
18,180000.0,18.0,1.0,1.0,0.07521938532590866,0.07521938532590866,-0.012757771648466587,0.06431692838668823,3.7734944820404053,0.7437761425971985,2.6451287269592285,0.0001,180000,77.08231002790853,1.0
20,200000.0,20.0,1.0,1.0,0.07567659765481949,0.07567659765481949,-0.028157588094472885,0.06832255423069,3.801933765411377,0.744735598564148,2.648981809616089,0.0001,200000,85.63400744693354,1.0
60,600000.0,60.0,1.0,1.0,0.07599689811468124,0.07599689811468124,-0.03530439734458923,0.0716279149055481,3.851778745651245,0.7498502135276794,2.6568667888641357,0.0001,600000,255.22124784905463,1.0
80,800000.0,80.0,1.0,1.0,0.07542315125465393,0.07542315125465393,-0.02196655049920082,0.0685286819934845,3.8634722232818604,0.7513527274131775,2.6590774059295654,0.0001,800000,341.2151477872394,1.0
100,1000000.0,100.0,1.0,1.0,0.07757100462913513,0.07757100462913513,-0.026062043383717537,0.07091771066188812,3.8710122108459473,0.7453196048736572,2.6588387489318848,0.0001,1000000,427.31185013242066,1.0
1,10000.0,1.0,1.0,1.0,0.3948131203651428,0.3948131203651428,0.0007391183171421289,0.04176759719848633,1.8492956161499023,0.79215407371521,1.8945461511611938,0.0001,10000,4.312775116879493,1.25
2,20000.0,2.0,1.0,1.0,0.2205904722213745,0.2205904722213745,-0.0014529249165207148,0.05625101551413536,2.491419792175293,0.7855789065361023,1.9691061973571777,0.0001,20000,8.596447092015296,1.25
4,40000.0,4.0,1.0,1.0,0.11473196744918823,0.11473196744918823,0.0019020156469196081,0.0519624724984169,3.2434334754943848,0.7734724283218384,2.055149555206299,0.0001,40000,17.131570836994797,1.25
6,60000.0,6.0,1.0,1.0,0.09092085063457489,0.09092085063457489,-2.2451171389548108e-05,0.05691953003406525,3.598092794418335,0.7840152978897095,2.0968713760375977,0.0001,60000,25.747009507846087,1.25
8,80000.0,8.0,1.0,1.0,0.08430640399456024,0.08430640399456024,-0.00993321929126978,0.05462479218840599,3.788154125213623,0.786132276058197,2.119215965270996,0.0001,80000,34.345953500363976,1.25
10,100000.0,10.0,1.0,1.0,0.08146201074123383,0.08146201074123383,-0.005415153689682484,0.05616875737905502,3.895805835723877,0.7908694744110107,2.131563663482666,0.0001,100000,42.90782243432477,1.25
12,120000.0,12.0,1.0,1.0,0.07925156503915787,0.07925156503915787,0.004764818120747805,0.05476832017302513,3.9801619052886963,0.778941810131073,2.1397464275360107,0.0001,120000,51.346538465004414,1.25
14,140000.0,14.0,1.0,1.0,0.07896667718887329,0.07896667718887329,-0.008858129382133484,0.05529393255710602,4.033560752868652,0.788838803768158,2.1471240520477295,0.0001,140000,59.94388669915497,1.25
16,160000.0,16.0,1.0,1.0,0.08047646284103394,0.08047646284103394,-0.014549746178090572,0.053204718977212906,4.074507713317871,0.7908468246459961,2.152134418487549,0.0001,160000,68.59581990214065,1.25
18,180000.0,18.0,1.0,1.0,0.07904912531375885,0.07904912531375885,-0.01647830940783024,0.05637899413704872,4.098580837249756,0.790058970451355,2.154484272003174,0.0001,180000,77.11230396898463,1.25
20,200000.0,20.0,1.0,1.0,0.07904398441314697,0.07904398441314697,-0.003435845486819744,0.05890069156885147,4.10530424118042,0.7884877920150757,2.154710054397583,0.0001,200000,85.68938582995906,1.25
60,600000.0,60.0,1.0,1.0,0.07908070832490921,0.07908070832490921,-0.013298751786351204,0.05952878296375275,4.188096046447754,0.7829592823982239,2.1635565757751465,0.0001,600000,256.8139603170566,1.25
80,800000.0,80.0,1.0,1.0,0.07886341214179993,0.07886341214179993,-0.00567701505497098,0.05435514077544212,4.194915771484375,0.7882364988327026,2.165254592895508,0.0001,800000,342.37252085469663,1.25
100,1000000.0,100.0,1.0,1.0,0.07967166602611542,0.07967166602611542,-0.0178255345672369,0.05495644733309746,4.184197902679443,0.7895122170448303,2.1644256114959717,0.0001,1000000,424.17115518590435,1.25
1,10000.0,1.0,1.0,1.0,0.4221929907798767,0.4221929907798767,-0.002495760330930352,0.04164770990610123,1.916110634803772,0.8168311715126038,1.5985420942306519,0.0001,10000,4.253127752803266,1.5
2,20000.0,2.0,1.0,1.0,0.2356620579957962,0.2356620579957962,-0.00405760295689106,0.05063340812921524,2.6073379516601562,0.8057914972305298,1.6640856266021729,0.0001,20000,8.586532298941165,1.5
4,40000.0,4.0,1.0,1.0,0.1251063197851181,0.1251063197851181,0.004963202401995659,0.050109490752220154,3.390486478805542,0.8127945065498352,1.7394912242889404,0.0001,40000,16.940538187976927,1.5
6,60000.0,6.0,1.0,1.0,0.0945645198225975,0.0945645198225975,0.000978377996943891,0.049609169363975525,3.8305277824401855,0.8145797848701477,1.7809520959854126,0.0001,60000,25.411260809749365,1.5
8,80000.0,8.0,1.0,1.0,0.0865231528878212,0.0865231528878212,0.0007407076773233712,0.04882867634296417,4.020312786102295,0.8166179656982422,1.7989661693572998,0.0001,80000,33.93563990667462,1.5
10,100000.0,10.0,1.0,1.0,0.08459173142910004,0.08459173142910004,0.007379358168691397,0.04621824622154236,4.136899948120117,0.8232089281082153,1.8107385635375977,0.0001,100000,42.26724779512733,1.5
12,120000.0,12.0,1.0,1.0,0.08254413306713104,0.08254413306713104,-0.010844002477824688,0.04348345473408699,4.239449501037598,0.8192228078842163,1.8198611736297607,0.0001,120000,50.83052410604432,1.5
14,140000.0,14.0,1.0,1.0,0.08189789950847626,0.08189789950847626,0.002855138387531042,0.04778457060456276,4.279698848724365,0.821502685546875,1.823471188545227,0.0001,140000,59.15754358191043,1.5
16,160000.0,16.0,1.0,1.0,0.08093949407339096,0.08093949407339096,-0.0002226509095635265,0.04937491938471794,4.310117721557617,0.8225107192993164,1.8265753984451294,0.0001,160000,67.76154297310859,1.5
18,180000.0,18.0,1.0,1.0,0.0803142637014389,0.0803142637014389,0.00018427733448334038,0.04928253963589668,4.322936534881592,0.8205780982971191,1.8271064758300781,0.0001,180000,76.2686970778741,1.5
20,200000.0,20.0,1.0,1.0,0.08124314248561859,0.08124314248561859,-0.010336850769817829,0.052214521914720535,4.3701300621032715,0.8209373354911804,1.831380009651184,0.0001,200000,84.72269841609523,1.5
60,600000.0,60.0,1.0,1.0,0.08197304606437683,0.08197304606437683,-0.010994077660143375,0.0445987693965435,4.439511775970459,0.8207032084465027,1.8381396532058716,0.0001,600000,257.16323741478845,1.5
80,800000.0,80.0,1.0,1.0,0.08026138693094254,0.08026138693094254,-0.014510351233184338,0.04571673646569252,4.470921993255615,0.8111643195152283,1.840496301651001,0.0001,800000,343.17582346871495,1.5
100,1000000.0,100.0,1.0,1.0,0.0817442461848259,0.0817442461848259,-0.01518965046852827,0.04946748912334442,4.451083660125732,0.8228638768196106,1.8394370079040527,0.0001,1000000,428.51378544187173,1.5
